model,detail,id,price
"Máy xách tay/ Laptop MacBook 13.3"" MPXT2ZP/A (Xám)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",67,39.250.000 ₫
"Máy xách tay/ Laptop MacBook 12"" MNYN2ZP/A (Vàng hồng)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",68,40.300.000 ₫
"Máy xách tay/ Laptop MacBook 12"" MNYH2SA/A (Bạc)","Bộ vi xử lý Intel Kabylake Core M3-7Y32 2 core/4 thread 1.2Ghz-3.0Ghz
Bộ nhớ trong	8GB LP DDR3 bus 1866Mhz
VGA	Intel HD Graphics 615
Ổ cứng	256GB SSD PCIe 3.0
Bảo mật, Công nghệ	TouchID
Màn hình Retina 12"" độ phân giải 2304x1440",69,33.450.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXR2SA/A (Bạc)","CPU:Intel Core i5 Kabylake, , 2.30 GHz
RAM:8 GB, DDR3 (on board), 2133 MHz
Ổ cứng:SSD: 128 GB
Màn hình:13.3 inch, Retina (2560 x 1600)
Card màn hình:Card đồ họa tích hợp, Intel® Iris™ Plus Graphics 640
Cổng kết nối:2 x Thunderbolt 3 (USB-C)
Đặc biệt:Có đèn bàn phím
Hệ điều hành:Mac OS
Thiết kế:Vỏ kim loại nguyên khối, PIN liền
Kích thước:Dày 14,9 mm, 1.37 kg",70,33.590.000 ₫
Máy xách tay/ Laptop HP Probook 440 G5-2XR74PA (Bạc),"
CPU: Intel Core i5-8250U
Ram: 8GB
Ổ cứng: HDD 1TB
Màn hình: 14.0"" HD
Trọng lượng:  1.7 kg
Hệ điều hành có sẵn: Free Dos",71,16.990.000 ₫
Máy xách tay/ Laptop HP Probook 450 G5-2ZD44PA (Bạc),"
CPU Intel Core i5-8250U (1.6GHz 
up to 3.4Ghz. 6MB Cache) 
RAM 4GB DDR4 2400MHz 
HDD 500GB SATA 5400rpm 
VGA Intel UHD Graphics 620 - Màn hình: 15.6"" Full HD (1920x1080) 
Trọng lượng: 2.1kg 
Hệ điều hành: Win 10 Home",72,17.790.000 ₫
Máy xách tay/ Laptop HP 14-bs562TU (2GE30PA) (Bạc),"
CPU: Intel Core i3-6006U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 14"" HD
Trọng lượng: 1.6 kg
Hệ điều hành có sẵn: Free Dos",73,9.690.000 ₫
Máy xách tay/ Laptop HP Probook 450 G5-2ZD42PA (Bạc),"
CPU: Intel Core i5-8250U
Ram: 4GB 
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 2.1 kg
Hệ điều hành có sẵn: Free Dos",74,16.290.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-cc105TU (3CH59PA) (Vàng),"
CPU:Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 1.96 kg
Hệ điều hành có sẵn: Free Dos",75,14.190.000 ₫
Máy xách tay/ Laptop HP Pavilion 14-bf016TU (2GE48PA) (Bạc),"
CPU: Intel Core i3-7100U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 14.0"" FHD
Trọng lượng: 1.63 kg
Hệ điều hành có sẵn: Free Dos",76,12.290.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-cc138TX (3CH58PA) (Xám),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 1.96 kg
Hệ điều hành có sẵn: Free Dos",77,15.190.000 ₫
Máy xách tay/ Laptop HP Probook 430 G5-2XR78PA (Bạc),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: SSD 256GB
Màn hình: 13.3"" HD
Trọng lượng: 1.6 kg
Hệ điều hành có sẵn: Free Dos",78,16.990.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-cc012TU (2GV01PA) (Vàng),"
CPU: Intel Core i3-7100U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 2 kg
Hệ điều hành có sẵn: Free Dos",79,11.490.000 ₫
Máy xách tay/ Laptop HP Spectre x360 13-ae081TU (3CH52PA) (Đen),"
CPU:Intel Core i7-7500U
Ram:8GB
Ổ cứng: SSD 256GB
Màn hình: 13.3"" FHD
Trọng lượng: 0.9 kg
Hệ điều hành có sẵn: Win 10",80,42.490.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-cc104TU (3CH57PA) (Xám),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 2.02 kg
Hệ điều hành có sẵn: Free Dos",81,14.190.000 ₫
Máy xách tay/ Laptop HP Pavilion 15-cc137TX (3CH63PA) (Vàng),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6: HD
Trọng lượng: 2.16 kg
Hệ điều hành có sẵn: Free Dos",82,15.190.000 ₫
Máy xách tay/ Laptop HP Probook 430 G5-2ZD50PA (Bạc),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 13.3"" HD
Trọng lượng: 1.6 kg
Hệ điều hành có sẵn: Win 10",83,16.990.000 ₫
Máy xách tay/ Laptop HP 15-bs555TU (2GE38PA) (Bạc),"
CPU: Intel Core i3-6006U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" HD
Trọng lượng: 1.9kg
Hệ điều hành có sẵn: Free Dos",84,9.890.000 ₫
Máy xách tay/ Laptop HP Probook 440 G5-2ZD36PA (Bạc),"
CPU:Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 14.0"" HD
Trọng lượng: 1.7 kg
Hệ điều hành có sẵn: Win 10",85,16.990.000 ₫
Máy xách tay/ Laptop HP Probook 430 G5-2ZD49PA (Bạc),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 13.3"" HD
Trọng lượng: 1.6kg
Hệ điều hành có sẵn: Free Dos",86,15.890.000 ₫
Máy xách tay/ Laptop HP Probook 440 G4-Z6T14PA (I5-7200U) (Bạc),"
CPU:
Ram:
Ổ cứng:
Màn hình:
Trọng lượng:
Hệ điều hành có sẵn:",87,15.950.000 ₫
Máy xách tay/ Laptop Dell Vostro 5468-VTI5019 (Vàng đồng),"
CPU: Intel Core i5-7200U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 14.0"" HD
Trọng lượng: 1.6 kg
Hệ điều hành có sẵn: Win 10",88,15.490.000 ₫
Máy xách tay/ Laptop Dell Vostro 15 3568-XF6C611 (I5-7200U) (Đen),"
CPU Intel Core i5-7200U (2.5GHz 
up to 3.1Ghz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2.2kg 
Hệ điều hành: Win 10 Home",89,14.490.000 ₫
Máy xách tay/ Laptop Dell Vostro 5468-VTI35008 (Vàng đồng),"CPU Intel Core i3-7100U (2.4GHz. 3MB Cache)
RAM 4GB DDR4 2400MHz
HDD 500GB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 14"" HD (1366x768)
Trọng lượng: 1.6kg
Hệ điều hành: Free DOS",90,12.790.000 ₫
Máy xách tay/ Laptop Dell Inspiron 15 3567 (F3567-70093474) (Đen),"
CPU Intel Core i5-7200U (2.5GHz 
up to 3.1Ghz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 500GB SATA 5400rpm 
VGA AMD Radeon R5 M430 2GB + Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2.3kg 
Hệ điều hành: Free DOS",91,13.890.000 ₫
Máy xách tay/ Laptop Dell Inspiron 3567-N3567C (Đen),"CPU Intel Core i3-6006U (2.0GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 520
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.2kg
Hệ điều hành: Free DOS",92,10.290.000 ₫
Máy xách tay/ Laptop Dell Vostro 3568-V3568B (Đen),"CPU : Intel Core i5 7200U 2.5GHz 
3M (up to 3.1GHz)RAM : 1x 4GB DDR4/2133 (2 slots)HDD 1TB 5400rpm 2.5'' Sata3Graphics : AMD Radeon R5 M420 2GB // Intel HD Graphics Display : 15.6'' HD GlareOptical and Multimedia : DVD RW, Webcam HD Lan 1G, Wifi AC, Bluetooth 4.0Weight and battery : 2.29Kg 
4CellPorts : 2x USB 3.0, USB 2.0, VGA, HDMI, ReaderFingerPrint OS : Windows 10 Home SL 64bits",93,15.790.000 ₫
Máy xách tay/ Laptop HP Probook 440 G5-2XR69PA (Bạc),"
CPU: Intel Core i7-8550U
Ram: 8GB
Ổ cứng: SSD 128GB + HDD 1TB
Màn hình: 14.0"" FHD
Trọng lượng: 1.7kg
Hệ điều hành có sẵn: Free Dos",94,23.490.000 ₫
Máy xách tay/ Laptop Dell Inspiron 3567-N3567B (Đen),"
CPU Intel Core i3-7100U (2.4GHz. 3MB Cache) 
RAM 6GB DDR4 2400MHz (2 Slots) 
HDD 1TB SATA 5400rpm 
VGA  Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2 kg 
Hệ điều hành: Win 10 Home",95,12.390.000 ₫
Máy xách tay/ Laptop Dell Vostro 3468 (F3468-70090697) (Đen),"CPU Intel Core i3-7100U (2.4GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 14"" HD (1366x768)
Trọng lượng: 1.96kg
Hệ điều hành: Win 10 Home",96,12.190.000 ₫
Máy xách tay/ Laptop Dell Vostro 5568 (F5568-70134547) (Vàng),"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 8GB DDR4 2400MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1920x1080)
Trọng lượng: 2.3kg
Hệ điều hành: Free DOS",97,16.990.000 ₫
Máy xách tay/ Laptop Dell Vostro 3568-V3568A (Đen),"
CPU Intel Core i5-7200U (2.5GHz 
up to 3.1Ghz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA AMD Radeon R5 M420 2GB + Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2.18kg 
Hệ điều hành: Free DOS",98,14.390.000 ₫
Máy xách tay/ Laptop Dell Vostro 5568-V5568E,"CPU Intel Core i3-7100U (2.4GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 500GB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.1kg
Hệ điều hành: Win 10 Home",99,13.390.000 ₫
Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR21 (I3-7100U) (Đen),"
CPU Intel Core i3-7100U (2.4GHz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA Intel HD Graphics 620 - Màn hình: 14"" HD (1366x768) 
Trọng lượng: 1,81kg 
Hệ điều hành: Win 10",100,11.490.000 ₫
Máy xách tay/ Laptop Dell Inspiron 15 5567-M5I5384 (Xám),"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA AMD Radeon R7 M445 2GB GDDR5 + Intel HD Graphics 620
Màn hình: 15.6"" Full HD (1920x1080)
Trọng lượng: 2.3kg
Hệ điều hành: Free DOS",101,15.490.000 ₫
Máy xách tay/ Laptop Asus S410UA-EB218T (I3-7100U) (Vàng đồng),"
CPU Intel Core i3-7100U (2.4GHz, 3MB Cache)
RAM 4GB DDR4 
2133MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.43kg
Hệ điều hành: Windows 10 Home 
64bit",102,12.990.000 ₫
Máy xách tay/ Laptop Asus GL703VD-EE057T (I7-7700HQ),"
CPU Intel Core i7-7700HQ (2.8GHz Up to 3.8GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSHD 1TB 5400rpm + 8GB NAND
VGA NVIDIA GeForce GTX 1050 4GB GDDR5 + Intel HD Graphics 620- Màn hình: 17.3"" FHD (1920 x 1080) 120Hz
Trọng lượng: ~ 2.93kg
Hệ điều hành: Windows 10 Home 
64bit",103,27.990.000 ₫
Máy xách tay/ Laptop Dell Vostro 5568 (F5568-70133573) (Vàng),"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.3kg
Hệ điều hành: Win 10 Home",104,17.190.000 ₫
Máy xách tay/ Laptop Asus GL503VM-GZ219T (I7-7700HQ) (Đen),"
CPU Intel Core i7 7700HQ (2.8GHz Up to 3.8GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSHD 1TB 5400rpm + 8GB NAND
VGA NVIDIA GeForce GTX 1060 3GB GDDR5 + Intel HD Graphics 630- Màn hình: 15.6"" FHD (1920 x 1080) 120Hz
Trọng lượng: ~ 2.3kg
Hệ điều hành: Windows 10 Home 
64bit",105,32.490.000 ₫
Máy xách tay/ Laptop Asus S510UQ-BQ475T (I5-8250U) (Vàng đồng),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA NVIDIA GeForce GT940MX 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 15.6"" FHD (1920 x 1080)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit",106,17.090.000 ₫
Máy xách tay/ Laptop Asus S510UQ-BQ483T (I7-8550U) (Vàng đồng),"
CPU Intel Core i7-8550U (1.8Ghz Up to 4.0Ghz, 8MB Cache)
RAM 8GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA NVIDIA GeForce GT940MX 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 15.6"" HD (1920 x 1080)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit",107,21.090.000 ₫
Máy xách tay/ Laptop Asus UX430UA-GV334T (I5-8250U) (Xanh),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit",108,22.090.000 ₫
Máy xách tay/ Laptop Asus UX430UN-GV069T (I5-8250U) (Xanh),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA NVIDIA GeForce MX150 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit",109,23.590.000 ₫
Máy xách tay/ Laptop Asus X510UA-BR543T (I5-8250U) (Xám),"
CPU Intel Core i5-8250U (1.6Ghz Up to 3.4Ghz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA Intel UHD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit",110,14.690.000 ₫
Máy xách tay/ Laptop Asus E402NA-GA025T (N4200) (Xanh),"
CPU Intel Core Pentium N4200 (1.1GHz, 2MB Cache)
RAM 4GB DDR3L 
1600MHz
HDD 500GB 5400rpm
VGA Intel HD Graphics 505- Màn hình: 14.0"" FHD (1366 x 768)
Trọng lượng: ~ 1.65kg
Hệ điều hành: Windows 10 Home 
64bit",111,7.190.000 ₫
Máy xách tay/ Laptop Asus UX430UN-GV096T (I7-8550U) (Vàng đồng),"
CPU Intel Core i7-8550U (1.8GHz Up to 4.0GHz, 8MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA NVIDIA GeForce MX150 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit",112,26.990.000 ₫
Máy xách tay/ Laptop Asus S510UA-BQ414T (I5-8250U) (Vàng đồng),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, 1x slot SSD (M.2/SATA)
VGA Intel UHD Graphics 620- Màn hình: 15,6"" FHD (1920 x 1080)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit",113,16.090.000 ₫
Máy xách tay/ Laptop Asus X540NA-GO032T (Pentium N4200) (Đen),"CPU IntelPentium N4200 (1.1GHz up to 2.5Ghz. 2MB Cache)
RAM 4GB DDR3L 1600MHz
HDD 500GB SATA 5400rpm
VGA Intel HD Graphics 505
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.0kg
Hệ điều hành: Win 10 Home",114,7.490.000 ₫
Máy xách tay/ Laptop Asus X542UQ-GO241T (I5-8250U) (Đồng),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA NVIDIA GeForce GT940MX 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2.15kg
Hệ điều hành: Windows 10 Home 
64bit",115,14.890.000 ₫
Máy xách tay/ Laptop Asus X542UA-GO349T (I5-8250U) (Đồng),"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/SATA)
VGA Intel UHD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2.3kg
Hệ điều hành: Windows 10 Home 
64bit",116,13.890.000 ₫
