model,detail,id,price
Máy xách tay/ Laptop Lenovo Ideapad 520s-14IKB 81BL0086VN (i5-8250U) (Vàng),"
CPU: Intel® Core™ i5-8250U 
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB 5400rpm 
Màn hình: 14.0"" FHD 
Trọng lượng: 1.7kg 
Hệ điều hành có sẵn: Windows 10 SL",17,14.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 720s-13IKB 81BV0061VN (i5-8250U) (Vàng),"
CPU: Intel® Core™ i5-8250U 
Ram: 8GB DDR4 
Ổ cứng: 256GB SSD_PCIe 
Màn hình: 13.3"" FHD 
Trọng lượng: 1.8kg 
Hệ điều hành có sẵn: Windows 10 SL",18,21.990.000 ₫
Máy xách tay/ Laptop Lenovo Thinkpad E570-20H5A02GVN (Đen),"
CPU: Intel® Core™ i5-7200U 
Ram: 4GB DDR4 
Ổ cứng: 500GB 7200rpm 
Màn hình: 15.6” HD 
Trọng lượng: 2.3kg 
Hệ điều hành có sẵn: Windows 10 SL",19,15.850.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 120s-81A40074VN (N3350) (Xám),"
CPU: Intel Celeron N3350 (2M Cache, up to 2.4 GHz) 
Ram: 4GB LPDDR4 2400MHz 
Ổ cứng: HDD 500GB 5400rpm 
Màn hình: 11.6"" HD 1366 x 768 
Trọng lượng: 1.26kg 
Hệ điều hành có sẵn: Free Dos",20,6.090.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 110-15IBR-80T700AYVN (N3710) (Đen),"CPU: Pentium N3710 RAM/ HDD: 4Gb/ 500Gb Màn hình: 15.6Inch VGA: VGA onboard, Intel HD Graphics HĐH: Dos Màu sắc/ Chất liệu: BlackGiao tiếp mở rộng: 2 x USB 2.0, 1 x USB 3.0, 1 x HDMI, 1 x VGA Card Reader;",21,6.290.000 ₫
Máy xách tay/ Laptop Lenovo Thinkpad E570-20H5A02FVA (Đen),"
CPU: Intel Core i5 7200U 
Ram: 4GB DDR4 
Ổ cứng: HDD 500GB 7200rpm 
Màn hình: 15.6'' HD 
Trọng lượng: 2.2Kg 
Hệ điều hành có sẵn: Free OS",22,13.990.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 710S-13IKB 80VQ0095VN (I3-7100U) (Vàng),"
CPU: Core i3 7100U 
Ram: 4GB LPDDR3 1866 ONBOARD 
Ổ cứng: 128G PCIE SSD 
Màn hình: 13.3 FHD IPS AG(SLIM) 
Trọng lượng: 1.12kg 
Hệ điều hành có sẵn: Windows 10 HOME",23,15.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-14ISK 80XG0083VN (i3-6006U) (Đen),"
CPU: Intel Core i3 Skylake, 6006U, 2.00 GHz 
Ram: 4 GB, DDR4 (1 khe), 2133 MHz 
Ổ cứng: HDD 500 GB 
Màn hình: 14 inch, HD (1366 x 768) 
Trọng lượng: 2.1kg 
Hệ điều hành có sẵn: Windows 10",24,9.390.000 ₫
Máy xách tay/ Laptop Lenovo Thinkpad E470-20H10033VA (Đen),"
CPU: Intel® Core™ i5-7200U 
Ram: 4GB DDR4 
Ổ cứng: HDD 500GB 7200RPM 
Màn hình: 14” HD 
Trọng lượng: 1.87kg 
Hệ điều hành có sẵn: Free Dos",25,14.190.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-14AST 80XU001XVN (AMD A9) (Đen),"
CPU: AMD RADEON™ A9-9420 
Ram: 4GB DDR4 2133 
Ổ cứng: HDD 1TB 5400rpm 
Màn hình: 14.0"" FHD 
Trọng lượng: 1.8kg 
Hệ điều hành có sẵn: Free Dos",26,8.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 81BG00BNVN (i5-8250U) (Đen),"
CPU Intel Core i5-8250U (1.6GHz Upto 3.4GHz, 6MB Cache),
Ram 4GB DDR4 2133Mhz
Ổ cứng HDD 1TB 5400rpm
Kích thước màn hình 15.6” FHD (1920x1080) TN AG (SLIM)
VGA onboard Intel UHD Graphics 620",27,11.990.000 ₫
